"FileName","FullPath","SizeBytes","SizeMB","LastModified","DuplicateCount"
"2013-2.pdf","C:\MyData\OLD DOK\2013-2.pdf","87086","0.08","2013-02-26 12:01:10","2"
"2013-2.pdf","C:\MyData\OLD DOK\topics in ds\2013-2.pdf","87068","0.08","2013-02-17 10:17:22","2"
"Ariel_CV_14.8.doc","C:\MyData\OLD DOK\Ariel_CV_14.8.doc","47616","0.05","2013-08-14 09:59:50","2"
"Ariel_CV_14.8.doc","C:\MyData\OLD DOK\CV\Ariel_CV_14.8.doc","47616","0.05","2013-08-14 09:59:50","2"
"A_CV.doc","C:\MyData\OLD DOK\A_CV.doc","40960","0.04","2012-12-25 10:41:26","2"
"A_CV.doc","C:\MyData\OLD DOK\CV\A_CV.doc","40960","0.04","2013-01-02 19:28:26","2"
"Blind Guardian.exe","C:\MyData\OLD DOK\26-10-2012\Blind Guardian.exe","22528","0.02","2012-01-29 11:53:32","3"
"Blind Guardian.exe","C:\MyData\OLD DOK\Blind Guardian.exe","22528","0.02","2012-01-29 11:53:32","3"
"Blind Guardian.exe","C:\MyData\OLD DOK\my documents\Blind Guardian.exe","22528","0.02","2012-01-29 20:53:32","3"
"hotmail.txt","C:\MyData\OLD DOK\hotmail.txt","62","0","2013-08-11 13:50:38","2"
"hotmail.txt","C:\MyData\OLD DOK\my documents\hotmail.txt","39","0","2012-08-28 13:49:14","2"
"rabiner.pdf","C:\MyData\OLD DOK\PROJECT\rabiner.pdf","2321736","2.21","2013-05-17 03:05:32","2"
"rabiner.pdf","C:\MyData\OLD DOK\rabiner.pdf","2319409","2.21","2013-06-03 09:00:08","2"
"ויזה נטען.txt","C:\MyData\OLD DOK\my documents\ויזה נטען.txt","532","0","2012-10-02 12:25:40","2"
"ויזה נטען.txt","C:\MyData\OLD DOK\ויזה נטען.txt","532","0","2012-10-02 12:25:40","2"
"יומן חיפוש עבודה.docx","C:\MyData\OLD DOK\CV\יומן חיפוש עבודה.docx","517670","0.49","2013-09-02 15:51:34","2"
"יומן חיפוש עבודה.docx","C:\MyData\OLD DOK\יומן חיפוש עבודה.docx","317727","0.3","2013-08-30 03:22:12","2"
"פרטים.txt","C:\MyData\OLD DOK\26-10-2012\פרטים.txt","299","0","2012-03-13 07:29:04","3"
"פרטים.txt","C:\MyData\OLD DOK\my documents\אינטרנט\פרטים.txt","612","0","2012-11-01 19:58:12","3"
"פרטים.txt","C:\MyData\OLD DOK\פרטים.txt","600","0","2012-10-23 10:06:10","3"
"jfreechart-1.0.14-demo.jar","C:\MyData\OLD DOK\20-6-2013\jfreechart-1.0.14-demo.jar","758061","0.72","2011-11-20 21:40:12","5"
"jfreechart-1.0.14-demo.jar","C:\MyData\OLD DOK\3-7-2013\jfreechart-1.0.14\jfreechart-1.0.14\jfreechart-1.0.14-demo.jar","758061","0.72","2011-11-20 21:40:12","5"
"jfreechart-1.0.14-demo.jar","C:\MyData\OLD DOK\3-7-2013\jfreechart-1.0.14-demo.jar","758061","0.72","2011-11-20 21:40:12","5"
"jfreechart-1.0.14-demo.jar","C:\MyData\OLD DOK\jars\jfreechart-1.0.14-demo.jar","758061","0.72","2011-11-20 21:40:12","5"
