DUPLICATE FILE NAMES REPORT
Generated: 2025-12-25 13:35:16
Root Folder: C:\MyData\OLD DOK
===============================================

SUMMARY
===============================================
Total files scanned: 17027
Unique file names: 7385
Duplicate file names: 3699
Total files with duplicate names: 13341
Disk space occupied by duplicates: 587.03 MB
(This is the space you would free by keeping only one copy of each duplicate file)

===============================================
DUPLICATE FILES (Ordered by Total Size Descending)
===============================================
FileName                                                                         Occurrences  TotalSizeMB     TotalSizeGB    
--------------------------------------------------------------------------------------------------------------------------
PlotState.java                                                                   2            0               0              
PlotRenderingInfoTests.java                                                      2            0.01            0              
PlotRenderingInfo.java                                                           2            0.02            0              
PlotTests.java                                                                   2            0.01            0              
PlumNeedleTests.java                                                             2            0.01            0              
PlumNeedle.java                                                                  2            0.01            0              
PlotUtilities.java                                                               2            0               0              
PlotChangeListener.java                                                          2            0               0              
PlotChangeEvent.java                                                             2            0               0              
Plot.java                                                                        2            0.1             0              
PlotEntity.java                                                                  2            0.01            0              
PlotPackageTests.java                                                            2            0.01            0              
PlotOrientationTests.java                                                        2            0.01            0              
PlotOrientation.java                                                             2            0.01            0              
PolarPlot.java                                                                   2            0.14            0              
PolarItemRenderer.java                                                           2            0.01            0              
PolarChartPanel.java                                                             2            0.02            0              
PolarPlotTests.java                                                              2            0.03            0              
PolynomialFitter.html                                                            4            0.05            0              
PolyhedronsSet.html                                                              2            0.05            0              
PolygonsSet.html                                                                 2            0.04            0              
PointValuePair.html                                                              4            0.14            0              
PointerNeedleTests.java                                                          2            0.01            0              
PointerNeedle.java                                                               2            0.01            0              
PointVectorValuePair.html                                                        4            0.09            0              
PolarAxisLocation.java                                                           2            0.01            0              
PoissonDistribution.java                                                         9            0.03            0              
PoissonDistribution.html                                                         2            0.04            0              
player298.gif                                                                    2            0               0              
PieLabelLinkStyle.java                                                           2            0.01            0              
PieLabelDistributor.java                                                         2            0.01            0              
PieDatasetHandler.java                                                           2            0.01            0              
PieLabelRecord.java                                                              2            0.01            0              
